Chương;LV;TT;Nội dung câu hỏi;Đáp án;Thang điểm
Chương 1;Trung bình;;USB port;;
Chương 1;Trung bình;20;Khi lắp RAM sai khe trên mainboard hỗ trợ dual channel thì điều gì xảy ra?;;0,2
Chương 1;Trung bình;;Không chạy dual channel;A;
Chương 1;Trung bình;;Không lên nguồn;;
Chương 1;Trung bình;;Hỏng RAM;;
Chương 1;Trung bình;;Cháy main;;
Chương 1;Trung bình;21;Lắp CPU Intel Gen 12 cần loại socket nào?;;0,2
Chương 1;Trung bình;;LGA1151;;
Chương 1;Trung bình;;LGA1200;;
Chương 1;Trung bình;;LGA1700;C;
Chương 1;Trung bình;;AM4;;
Chương 1;Trung bình;22;Máy tính bật nguồn nhưng tắt ngay sau vài giây, nguyên nhân có thể là:;;0,2
Chương 1;Trung bình;;Nguồn không đủ công suất;A;
Chương 1;Trung bình;;Lỗi ổ cứng hoặc đầy dữ liệu;;
Chương 1;Trung bình;;RAM yếu;;
Chương 1;Trung bình;;Cổng USB hỏng;;
Chương 1;Trung bình;23;Ổ HDD 7200RPM nhanh hơn 5400RPM vì lý do gì?;;0,2
Chương 1;Trung bình;;Đĩa quay nhanh hơn;A;
Chương 1;Trung bình;;Dung lượng lớn hơn;;
Chương 1;Trung bình;;Có RAM;;
Chương 1;Trung bình;;Có GPU;;
;;;Chương 2;;
;;;Nhóm câu hỏi ở mức độ NHẬN BIẾT/ THÔNG HIỂU (A);;
Chương 2;Dễ;1;CPU có Base Clock 2.8 GHz, Turbo Boost 4.0 GHz nghĩa là:;;0,2
Chương 2;Dễ;;CPU có thể tự động tăng xung lên 4.0 GHz khi cần;A;
Chương 2;Dễ;;CPU luôn chạy 4.0 GHz;;
Chương 2;Dễ;;CPU không chạy dưới 4 GHz;;
Chương 2;Dễ;;CPU chỉ chạy 2.8 GHz;;
Chương 2;Dễ;2;CPU được lắp vào đâu trên mainboard?;;0,2
Chương 2;Dễ;;PCIe slot;;
Chương 2;Dễ;;RAM slot;;
Chương 2;Dễ;;CPU socket;C;
Chương 2;Dễ;;SATA port;;
Chương 2;Dễ;3;Khe PCIe x16 thường dùng để lắp thiết bị nào?;;0,2
Chương 2;Dễ;;RAM;;
Chương 2;Dễ;;GPU;B;
Chương 2;Dễ;;SSD;;
Chương 2;Dễ;;CPU;;
Chương 2;Dễ;4;Thông số Socket CPU dùng để:;;0,2
Chương 2;Dễ;;xác định loại bo mạch chủ tương thích;A;
Chương 2;Dễ;;xác định loại RAM;;
Chương 2;Dễ;;xác định dung lượng ổ cứng;;
Chương 2;Dễ;;xác định card màn hình;;
;;;Nhóm câu hỏi ở mức độ VẬN DỤNG (B);;
Chương 2;Trung bình;1;Khe M.2 trên mainboard thường dùng để lắp linh kiện nào?;;0,2
Chương 2;Trung bình;;RAM;;
Chương 2;Trung bình;;SSD NVMe;B;
Chương 2;Trung bình;;GPU;;
Chương 2;Trung bình;;CPU;;
Chương 2;Trung bình;2;Lắp SSD NVMe vào khe SATA:;;0,2
Chương 2;Trung bình;;Không lắp được;B;
Chương 2;Trung bình;;Chạy chậm;;
Chương 2;Trung bình;;Chạy bình thường;;
Chương 2;Trung bình;;Không nhận RAM;;
Chương 2;Trung bình;3;RAM DDR4 không thể lắp vào khe DDR5 vì lý do chính nào?;;0,2
Chương 2;Trung bình;;Khác dung lượng;;
Chương 2;Trung bình;;Khác vị trí rãnh;B;
Chương 2;Trung bình;;Khác hãng;;
Chương 2;Trung bình;;Khác màu;;
Chương 2;Trung bình;4;CPU quá nhiệt thường do nguyên nhân nào?;;0,2
Chương 2;Trung bình;;Thiếu keo tản nhiệt;A;
Chương 2;Trung bình;;Thiếu RAM;;
Chương 2;Trung bình;;Ổ cứng chậm;;
Chương 2;Trung bình;;Thiếu chuột;;
Chương 2;Trung bình;5;Lắp SSD NVMe nhưng BIOS không nhận. Nguyên nhân có thể là gì?;;0,2
Chương 2;Trung bình;;Main không hỗ trợ NVMe;A;
Chương 2;Trung bình;;RAM lỗi;;
Chương 2;Trung bình;;GPU yếu;;
Chương 2;Trung bình;;Màn hình hỏng;;
Chương 2;Trung bình;6;Máy bật nhưng không lên hình, nguyên nhân phổ biến nhất khi lắp ráp?;;0,2
Chương 2;Trung bình;;RAM lỏng;A;
Chương 2;Trung bình;;Chuột lỗi;;
Chương 2;Trung bình;;Bàn phím lỗi;;
Chương 2;Trung bình;;Loa lỗi;;
Chương 2;Trung bình;7;Nếu PSU công suất quá thấp có thể gây ra hiện tượng gì?;;0,2
Chương 2;Trung bình;;Máy tắt đột ngột;A;
Chương 2;Trung bình;;RAM tăng dung lượng;;
Chương 2;Trung bình;;SSD nhanh hơn;;
Chương 2;Trung bình;;GPU mạnh hơn;;
;;;Chương 3 & 4;;
;;;Nhóm câu hỏi ở mức độ VẬN DỤNG (B);;
Chương 3 & 4;Trung bình;1;Hệ điều hành Windows báo lỗi “Low Disk Space”. Điều này nghĩa là:;;0,2
Chương 3 & 4;Trung bình;;Ổ cứng gần đầy;A;
Chương 3 & 4;Trung bình;;Không nhận ổ cứng;;
Chương 3 & 4;Trung bình;;Lỗi ổ cứng;;
Chương 3 & 4;Trung bình;;CPU gần đầy;;
Chương 3 & 4;Trung bình;2;Hệ điều hành Windows báo lỗi “Windows cannot connect to this network”. Nguyên nhân có thể là:;;0,2
Chương 3 & 4;Trung bình;;Giao tiếp mạng lỗi;A;
Chương 3 & 4;Trung bình;;Quá nhiệt CPU hoặc lỗi phần cứng;;
Chương 3 & 4;Trung bình;;RAM gần đầy;;
Chương 3 & 4;Trung bình;;Không có quyền Administrator;;
Chương 3 & 4;Trung bình;3;Khi cài phần mềm Office xuất hiện thông báo product key required.;;0,2
Chương 3 & 4;Trung bình;;Đã có bản quyền;;
Chương 3 & 4;Trung bình;;Không đúng key bản quyền;;
Chương 3 & 4;Trung bình;;Cần kích hoạt bản quyền;C;
Chương 3 & 4;Trung bình;;Office bị lỗi;;
Chương 3 & 4;Trung bình;4;"Khi cài phần mềm xuất hiện thông báo missing DLL.
Nguyên nhân:";;0,2
Chương 3 & 4;Trung bình;;Chưa có bản quyền;;
Chương 3 & 4;Trung bình;;Chưa cài driver;;
Chương 3 & 4;Trung bình;;Thiếu thư viện hệ thống;C;
Chương 3 & 4;Trung bình;;Thiếu driver;;
Chương 3 & 4;Trung bình;5;Máy tính báo “Disk 100% usage” trong Task Manager. Nguyên nhân có thể là:;;0,2
Chương 3 & 4;Trung bình;;RAM quá lớn;;
Chương 3 & 4;Trung bình;;Driver USB chưa cài hoặc bị lỗi;;
Chương 3 & 4;Trung bình;;Ổ cứng hoạt động quá tải;C;
Chương 3 & 4;Trung bình;;Driver mạng lỗi;;
Chương 3 & 4;Trung bình;6;Nếu hệ điều hành Windows lỗi nhưng có System Image, cần:;;0,2
Chương 3 & 4;Trung bình;;Cài lại hệ điều hành;;
Chương 3 & 4;Trung bình;;Backup system image;;
Chương 3 & 4;Trung bình;;restore system image;C;
Chương 3 & 4;Trung bình;;Format ổ cứng và cài Windows mới;;
Chương 3 & 4;Trung bình;7;Nếu hệ điều hành Windows lỗi, phương pháp phục hồi nhanh nhất là:;;0,2
Chương 3 & 4;Trung bình;;Restore từng file;;
Chương 3 & 4;Trung bình;;Restore System Image;C;
Chương 3 & 4;Trung bình;;Reinstall Windows;;
Chương 3 & 4;Trung bình;;Format ổ cứng;;
Chương 3 & 4;Trung bình;8;Phần mềm nào thường dùng để backup hệ điều hành Windows?;;0,2
Chương 3 & 4;Trung bình;;Disk Cleanup;;
Chương 3 & 4;Trung bình;;Acronis True Image;B;
Chương 3 & 4;Trung bình;;Device Manager;;
Chương 3 & 4;Trung bình;;Task Manager;;
Chương 3 & 4;Trung bình;9;Sau khi cài driver mới, Windows bị màn hình xanh. Giải pháp tốt nhất:;;0,2
Chương 3 & 4;Trung bình;;Thay SSD;;
Chương 3 & 4;Trung bình;;Rollback driver;B;
Chương 3 & 4;Trung bình;;Format ổ cứng;;
Chương 3 & 4;Trung bình;;Cài Windows mới;;
Chương 3 & 4;Trung bình;10;Thiết bị lưu trữ nào phù hợp nhất để backup dài hạn?;;0,2
Chương 3 & 4;Trung bình;;USB;;
Chương 3 & 4;Trung bình;;RAM;;
Chương 3 & 4;Trung bình;;HDD;C;
Chương 3 & 4;Trung bình;;Cache;;
Chương 3 & 4;Trung bình;11;Trong Hệ điều hành Windows, công cụ nào dùng để tạo bản sao toàn bộ hệ thống?;;0,2
Chương 3 & 4;Trung bình;;Disk Cleanup;;
Chương 3 & 4;Trung bình;;System Image Backup;B;
Chương 3 & 4;Trung bình;;Device Manager;;
Chương 3 & 4;Trung bình;;Task Manager;;
Chương 3 & 4;Trung bình;12;Hệ điều hành Windows hiển thị thông báo “Access Denied” khi cài phần mềm. Nguyên nhân:;;0,2
Chương 3 & 4;Trung bình;;Thông báo RAM đầy;;
Chương 3 & 4;Trung bình;;Không có quyền Administrator;B;
Chương 3 & 4;Trung bình;;Sai key bản quyền;;
Chương 3 & 4;Trung bình;;Thông báo ổ cứng đầy;;
Chương 3 & 4;Trung bình;13;Máy tính hiển thị lỗi “Operating System Not Found”. Nguyên nhân:;;0,2
Chương 3 & 4;Trung bình;;Không có quyền Administrator;;
Chương 3 & 4;Trung bình;;Ổ cứng không có hệ điều hành;B;
Chương 3 & 4;Trung bình;;Windows chưa kích hoạt;;
Chương 3 & 4;Trung bình;;Sửa lỗi hệ thống hoặc driver;;
Chương 3 & 4;Trung bình;14;Máy tính khởi động nhưng dừng ở màn hình “Boot Device Not Found”. Nguyên nhân phổ biến là:;;0,2
Chương 3 & 4;Trung bình;;Windows chưa kích hoạt;;
Chương 3 & 4;Trung bình;;BIOS không nhận ổ cứng hoặc sai thứ tự boot;B;
Chương 3 & 4;Trung bình;;Sai key bản quyền;;
Chương 3 & 4;Trung bình;;Thiếu driver chipset;;
Chương 3 & 4;Trung bình;15;Chế độ UEFI khác BIOS Legacy ở điểm nào quan trọng nhất?;;0,2
Chương 3 & 4;Trung bình;;Hỗ trợ ổ cứng dung lượng nhỏ hơn;;
Chương 3 & 4;Trung bình;;Hỗ trợ GPT và ổ > 2TB;B;
Chương 3 & 4;Trung bình;;Không cần bootloader;;
Chương 3 & 4;Trung bình;;Không hỗ trợ hệ điều hành;;
Chương 3 & 4;Trung bình;16;Công cụ phổ biến để tạo USB boot Windows là:;;0,2
Chương 3 & 4;Trung bình;;LDPlayer;;
Chương 3 & 4;Trung bình;;Excel;;
Chương 3 & 4;Trung bình;;Rufus;C;
Chương 3 & 4;Trung bình;;BlueStacks;;
Chương 3 & 4;Trung bình;17;Để cài Windows theo chuẩn UEFI, ổ cứng phải sử dụng:;;0,2
Chương 3 & 4;Trung bình;;MBR;;
Chương 3 & 4;Trung bình;;NTFS;;
Chương 3 & 4;Trung bình;;FAT16;;
Chương 3 & 4;Trung bình;;GPT;D;
Chương 3 & 4;Trung bình;18;Để ghost lại hệ điều hành từ file .gho, chọn:;;0,2
Chương 3 & 4;Trung bình;;Disk to Image;;
Chương 3 & 4;Trung bình;;Partition to Image;;
Chương 3 & 4;Trung bình;;Image to Partition;C;
Chương 3 & 4;Trung bình;;Format Disk;;
Chương 3 & 4;Trung bình;19;Định dạng USB phổ biến để tạo USB boot Windows là:;;0,2
Chương 3 & 4;Trung bình;;GPT;;
Chương 3 & 4;Trung bình;;FAT32;B;
Chương 3 & 4;Trung bình;;FAT16;;
Chương 3 & 4;Trung bình;;exFAT;;
Chương 3 & 4;Trung bình;20;File sao lưu của Acronis True Image có định dạng:;;0,2
Chương 3 & 4;Trung bình;;.iso;;
Chương 3 & 4;Trung bình;;.gho;;
Chương 3 & 4;Trung bình;;.tib;C;
Chương 3 & 4;Trung bình;;.img;;
Chương 3 & 4;Trung bình;21;Khi cài Windows từ USB mà không boot được, cần kiểm tra:;;0,2
Chương 3 & 4;Trung bình;;Boot Priority;A;
Chương 3 & 4;Trung bình;;Ổ cứng;;
Chương 3 & 4;Trung bình;;RAM;;
Chương 3 & 4;Trung bình;;VGA;;
Chương 3 & 4;Trung bình;22;Nếu BIOS để chế độ IDE thay vì AHCI, hậu quả có thể là:;;0,2
Chương 3 & 4;Trung bình;;RAM chạy chậm;A;
Chương 3 & 4;Trung bình;;SSD chạy chậm;;
Chương 3 & 4;Trung bình;;CPU chạy chậm;;
Chương 3 & 4;Trung bình;;VGA lỗi;;
Chương 3 & 4;Trung bình;23;Nếu cài Windows trên ổ MBR nhưng BIOS đang ở UEFI, sẽ xảy ra:;;0,2
Chương 3 & 4;Trung bình;;Cài bình thường;;
Chương 3 & 4;Trung bình;;Báo lỗi không cài được;B;
Chương 3 & 4;Trung bình;;Máy chạy chậm;;
Chương 3 & 4;Trung bình;;Không nhận RAM;;
Chương 3 & 4;Trung bình;24;Nếu ổ cứng đang ở chuẩn MBR, muốn chuyển sang UEFI cần:;;0,2
Chương 3 & 4;Trung bình;;Chuyển sang GPT;A;
Chương 3 & 4;Trung bình;;Format ổ cứng;;
Chương 3 & 4;Trung bình;;Cài lại BIOS;;
Chương 3 & 4;Trung bình;;Nâng cấp RAM;;
Chương 3 & 4;Trung bình;25;Nếu pin CMOS hết, máy sẽ gặp hiện tượng:;;0,2
Chương 3 & 4;Trung bình;;Không nhận VGA;;
Chương 3 & 4;Trung bình;;Mất dữ liệu ổ cứng;;
Chương 3 & 4;Trung bình;;Không nhận RAM;;
Chương 3 & 4;Trung bình;;Mất thời gian hệ thống;D;
Chương 3 & 4;Trung bình;26;Phần mềm dùng để tạo file .TIB là:;;0,2
Chương 3 & 4;Trung bình;;Norton Ghost;;
Chương 3 & 4;Trung bình;;Rufus;;
Chương 3 & 4;Trung bình;;Acronis True Image;B;
Chương 3 & 4;Trung bình;;WinRAR;;
Chương 3 & 4;Trung bình;27;Phân vùng hệ thống (System Partition) trong GPT thường có định dạng:;;0,2
Chương 3 & 4;Trung bình;;FAT32;;
Chương 3 & 4;Trung bình;;exFAT;;
Chương 3 & 4;Trung bình;;NTFS;C;
Chương 3 & 4;Trung bình;;RAW;;
Chương 3 & 4;Trung bình;28;Trong Norton Ghost, để sao lưu toàn bộ ổ đĩa, chọn:;;0,2
Chương 3 & 4;Trung bình;;Partition to Image;;
Chương 3 & 4;Trung bình;;Image to Disk;;
Chương 3 & 4;Trung bình;;Disk to Partition;;
Chương 3 & 4;Trung bình;;Disk to Image;D;
Chương 3 & 4;Trung bình;29;Trong quá trình tạo USB boot, thao tác “Start” trong Rufus có nghĩa là:;;
Chương 3 & 4;Trung bình;;Bắt đầu xóa Windows;;
Chương 3 & 4;Trung bình;;Bắt đầu xóa dữ liệu ổ cứng;;
Chương 3 & 4;Trung bình;;Bắt đầu ghi file ISO vào USB;C;
Chương 3 & 4;Trung bình;;Tăng tốc USB;;
;;;Chương 5;;
;;;Nhóm câu hỏi ở mức độ NHẬN BIẾT/ THÔNG HIỂU (A);;
Chương 5;Dễ;1;Để cài đặt phần mềm cần quyền:;;0,2
Chương 5;Dễ;;User;;
Chương 5;Dễ;;Admin;B;
Chương 5;Dễ;;Guest;;
Chương 5;Dễ;;Network;;
Chương 5;Dễ;2;Hiện tượng gì nếu bật máy tính không cắm RAM ?;;0,2
Chương 5;Dễ;;Máy không boot;A;
Chương 5;Dễ;;Máy chạy chậm;;
Chương 5;Dễ;;Máy không khởi động được;;
Chương 5;Dễ;;Máy không lên hình;;
Chương 5;Dễ;3;Khe cắm RAM trên mainboard được gọi là gì?;;0,2
Chương 5;Dễ;;PCIe slot;;
Chương 5;Dễ;;DIMM slot;B;
Chương 5;Dễ;;SATA port;;
Chương 5;Dễ;;CPU socket;;
Chương 5;Dễ;4;Khi bật máy, BIOS phát ra 1 tiếng bíp ngắn, điều này thường có nghĩa là:;;0,2
Chương 5;Dễ;;Lỗi ổ cứng;;
Chương 5;Dễ;;Lỗi RAM;;
Chương 5;Dễ;;Hệ thống khởi động bình thường;C;
Chương 5;Dễ;;BIOS chưa update;;
Chương 5;Dễ;5;Khi lắp RAM có tốc độ bus cao hơn mainboard hỗ trợ thì;;0,2
Chương 5;Dễ;;RAM chạy với tốc độ bus mà mainboard hỗ trợ.;A;
Chương 5;Dễ;;RAM chạy với tốc độ bus tối da của nó.;;
Chương 5;Dễ;;RAM hỏng;;
Chương 5;Dễ;;Main hỏng;;
Chương 5;Dễ;6;Máy bật nguồn nhưng không lên hình, nguyên nhân phổ biến nhất là:;;0,2
Chương 5;Dễ;;RAM lỏng;A;
Chương 5;Dễ;;HDD hỏng;;
Chương 5;Dễ;;Chuột lỗi;;
Chương 5;Dễ;;SSD lỗi;;
Chương 5;Dễ;7;Máy bật nhưng không nhận ổ cứng, nguyên nhân có thể là:;;0,2
Chương 5;Dễ;;SATA chưa cắm;A;
Chương 5;Dễ;;GPU lỗi;;
Chương 5;Dễ;;RAM lỗi;;
Chương 5;Dễ;;CPU lỗi;;
Chương 5;Dễ;8;Máy bật nhưng quạt quay mạnh, không lên hình:;;0,2
Chương 5;Dễ;;RAM lỗi;A;
Chương 5;Dễ;;SSD lỗi;;
Chương 5;Dễ;;CPU lỗi;;
Chương 5;Dễ;;PSU chưa cấp điện;;
Chương 5;Dễ;9;Máy bật nhưng tự khởi động lại liên tục, nguyên nhân có thể:;;0,2
Chương 5;Dễ;;PSU yếu;A;
Chương 5;Dễ;;Chuột lỗi;;
Chương 5;Dễ;;HDD lỗi;;
Chương 5;Dễ;;GPU lỗi;;
Chương 5;Dễ;10;Máy khởi động nhưng không nhận SSD NVM-E, nguyên nhân có thể:;;0,2
Chương 5;Dễ;;Thiếu RAM;;
Chương 5;Dễ;;Lắp sai khe M.2;B;
Chương 5;Dễ;;CPU quá nóng;;
Chương 5;Dễ;;Main hỏng;;
Chương 5;Dễ;11;"Máy không khởi động hệ điều hành Windows sau khi lắp SSD mới.
Nguyên nhân là gì?";;0,2
Chương 5;Dễ;;Chưa cài hệ điều hành;A;
Chương 5;Dễ;;Thiếu RAM;;
Chương 5;Dễ;;GPU lỗi;;
